# Simulation 1 (Up to date)
# 685 data points written for 23 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (28.8 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),CP location (cm),CG location (cm),Thrust (N),Thrust-to-weight ratio (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.315,56.074,592.074,30.9,35.305,-13.559,20.786,5.374e-4,20.786,89.999,17.078,0.851,17.407,78.477,1.41,3.388e-5,-2.491,-0.003,134.419,19.175,14.331,0,0
2.322,56.267,592.267,30.815,35.228,-13.484,20.893,5.434e-4,20.893,89.999,17.072,0.931,17.407,78.477,1.316,3.369e-5,1.389,9.617e-4,134.419,19.183,14.331,0,0
2.328,56.472,592.472,30.725,35.147,-13.389,21.007,5.499e-4,21.007,89.999,17.066,1.036,17.407,78.477,1.192,3.356e-5,5.201,5.562e-4,134.419,19.195,14.331,0,0
2.336,56.7,592.7,30.626,35.056,-13.267,21.134,5.571e-4,21.134,89.998,17.058,1.174,17.407,78.477,1.027,3.312e-5,8.93,-9.016e-4,134.419,19.21,14.331,0,0
2.344,56.964,592.964,30.513,34.951,-13.11,21.281,5.655e-4,21.281,89.998,17.047,1.355,17.407,78.477,0.806,3.313e-5,12.495,0.003,134.419,19.231,14.331,0,0
2.355,57.301,593.301,30.368,34.818,-12.912,21.47,5.764e-4,21.47,89.998,17.03,1.583,17.407,78.477,0.52,3.166e-5,15.735,0.009,134.419,19.258,14.331,0,0
2.372,57.805,593.805,30.156,34.618,-12.633,21.753,5.93e-4,21.753,89.998,17.001,1.903,17.407,78.477,0.102,2.936e-5,18.029,0.039,134.419,19.298,14.331,0,0
2.397,58.553,594.553,29.846,34.322,-12.245,22.177,6.183e-4,22.177,89.998,16.948,2.367,17.407,78.477,0.513,2.391e-5,-15.677,0.008,134.419,19.258,14.331,0,0
2.415,59.083,595.083,29.63,34.112,-11.971,22.478,6.367e-4,22.478,89.998,16.903,2.725,17.407,78.477,0.966,2.737e-5,-9.948,0.009,134.419,19.215,14.331,0,0
2.424,59.369,595.369,29.515,33.999,-11.849,22.641,6.468e-4,22.641,89.998,16.875,2.884,17.407,78.477,1.168,2.565e-5,-5.504,0.009,134.419,19.196,14.331,0,0
2.432,59.604,595.604,29.421,33.905,-11.768,22.776,6.551e-4,22.776,89.998,16.852,2.986,17.407,78.477,1.299,2.575e-5,-1.293,0.006,134.419,19.184,14.331,0,0
2.44,59.816,595.816,29.336,33.821,-11.712,22.897,6.627e-4,22.897,89.998,16.83,3.052,17.407,78.477,1.385,2.595e-5,2.837,0.011,134.419,19.176,14.331,0,0
2.446,60.015,596.015,29.256,33.742,-11.673,23.012,6.7e-4,23.012,89.998,16.809,3.09,17.407,78.477,1.439,2.535e-5,6.921,0.015,134.419,19.171,14.331,0,0
2.453,60.207,596.207,29.18,33.665,-11.656,23.122,6.769e-4,23.122,89.998,16.789,3.094,17.407,78.477,1.453,2.508e-5,10.952,0.017,134.419,19.17,14.331,0,0
2.46,60.397,596.397,29.104,33.589,-11.658,23.231,6.839e-4,23.231,89.998,16.769,3.065,17.407,78.477,1.43,2.543e-5,14.916,0.016,134.419,19.172,14.331,0,0
2.466,60.59,596.59,29.026,33.512,-11.674,23.343,6.91e-4,23.343,89.998,16.749,3.015,17.407,78.477,1.38,2.543e-5,18.835,0.013,134.419,19.176,14.331,0,0
2.473,60.792,596.792,28.945,33.431,-11.704,23.459,6.984e-4,23.459,89.998,16.728,2.941,17.407,78.477,1.301,2.599e-5,22.721,0.016,134.419,19.184,14.331,0,0
2.481,61.006,597.006,28.858,33.345,-11.75,23.583,7.063e-4,23.583,89.998,16.707,2.842,17.407,78.477,1.191,2.637e-5,26.551,0.01,134.419,19.194,14.331,0,0
2.489,61.24,597.24,28.762,33.251,-11.815,23.719,7.15e-4,23.719,89.998,16.684,2.712,17.407,78.477,1.04,2.55e-5,30.291,0.016,134.419,19.208,14.331,0,0
2.498,61.509,597.509,28.651,33.142,-11.908,23.875,7.25e-4,23.875,89.998,16.659,2.541,17.407,78.477,0.835,2.511e-5,33.888,0.01,134.419,19.227,14.331,0,0
2.51,61.846,597.846,28.51,33.006,-12.061,24.071,7.377e-4,24.071,89.998,16.631,2.276,17.407,78.477,0.505,2.397e-5,37.096,0.018,134.419,19.258,14.331,0,0
2.527,62.348,598.348,28.295,32.802,-12.315,24.365,7.568e-4,24.365,89.998,16.594,1.866,17.407,78.477,0.034,2.394e-5,-38.68,0.209,134.419,19.304,14.331,0,0
2.554,63.094,599.094,27.963,32.495,-12.668,24.804,7.856e-4,24.804,89.998,16.552,1.338,17.407,78.477,0.766,2.071e-5,-34.122,0.005,134.419,19.233,14.331,0,0
2.567,63.457,599.457,27.797,32.344,-12.781,25.02,8e-4,25.02,89.998,16.536,1.176,17.407,78.477,1.002,2.059e-5,-29.499,0.003,134.419,19.211,14.331,0,0
2.577,63.736,599.736,27.669,32.228,-12.84,25.186,8.111e-4,25.186,89.998,16.525,1.087,17.407,78.477,1.136,2.113e-5,-25.238,0.002,134.419,19.198,14.331,0,0
2.586,63.983,599.983,27.554,32.124,-12.87,25.334,8.211e-4,25.334,89.998,16.515,1.035,17.407,78.477,1.215,2.096e-5,-21.101,0.007,134.419,19.191,14.331,0,0
2.594,64.215,600.215,27.445,32.026,-12.877,25.473,8.306e-4,25.473,89.998,16.506,1.011,17.407,78.477,1.254,2.205e-5,-17.032,0.006,134.419,19.187,14.331,0,0
2.603,64.439,600.439,27.34,31.932,-12.868,25.608,8.399e-4,25.608,89.998,16.498,1.006,17.407,78.477,1.264,2.152e-5,-13.029,0.005,134.419,19.186,14.331,0,0
2.611,64.662,600.662,27.234,31.838,-12.845,25.743,8.492e-4,25.743,89.998,16.49,1.013,17.407,78.477,1.255,2.243e-5,-9.038,0.003,134.419,19.187,14.331,0,0
2.619,64.887,600.887,27.128,31.742,-12.803,25.879,8.587e-4,25.879,89.998,16.481,1.041,17.407,78.477,1.212,2.286e-5,-5.122,0.002,134.419,19.191,14.331,0,0
2.628,65.121,601.121,27.018,31.644,-12.74,26.022,8.686e-4,26.022,89.998,16.472,1.092,17.407,78.477,1.134,2.318e-5,-1.263,-0.001,134.419,19.198,14.331,0,0
2.637,65.37,601.37,26.9,31.538,-12.654,26.174,8.794e-4,26.174,89.998,16.462,1.169,17.407,78.477,1.016,2.351e-5,2.519,-0.001,134.419,19.209,14.331,0,0
2.647,65.649,601.649,26.77,31.42,-12.537,26.345,8.916e-4,26.345,89.998,16.449,1.277,17.407,78.477,0.847,2.368e-5,6.181,0.004,134.419,19.225,14.331,0,0
2.66,65.984,601.984,26.613,31.278,-12.377,26.551,9.064e-4,26.551,89.998,16.432,1.433,17.407,78.477,0.599,2.36e-5,9.599,6.77e-4,134.419,19.248,14.331,0,0
2.678,66.46,602.46,26.393,31.076,-12.13,26.846,9.279e-4,26.846,89.998,16.404,1.682,17.407,78.477,0.194,2.231e-5,12.256,0.019,134.419,19.287,14.331,0,0
2.705,67.167,603.167,26.071,30.776,-11.774,27.288,9.606e-4,27.288,89.998,16.354,2.057,17.407,78.477,0.427,2.107e-5,-11.088,0.008,134.419,19.264,14.331,0,0
2.731,67.833,603.833,25.773,30.493,-11.498,27.707,9.922e-4,27.707,89.998,16.297,2.349,17.407,78.477,0.914,1.945e-5,-4.771,0.011,134.419,19.218,14.331,0,0
2.743,68.149,604.149,25.632,30.358,-11.404,27.907,0.001,27.907,89.998,16.268,2.441,17.407,78.477,1.074,2.062e-5,-0.403,0.014,134.419,19.203,14.331,0,0
2.753,68.416,604.416,25.513,30.244,-11.332,28.077,0.001,28.077,89.998,16.242,2.511,17.407,78.477,1.195,1.966e-5,3.769,0.005,134.419,19.191,14.331,0,0
2.763,68.658,604.658,25.406,30.141,-11.257,28.231,0.001,28.231,89.998,16.217,2.596,17.407,78.477,1.327,1.947e-5,7.99,0.002,134.419,19.179,14.331,0,0
2.771,68.876,604.876,25.309,30.047,-11.206,28.371,0.001,28.371,89.998,16.195,2.647,17.407,78.477,1.409,1.951e-5,12.121,0.005,134.419,19.171,14.331,0,0
2.779,69.081,605.081,25.218,29.959,-11.175,28.502,0.001,28.502,89.998,16.173,2.674,17.407,78.477,1.452,2e-5,16.181,0.009,134.419,19.167,14.331,0,0
2.787,69.279,605.279,25.13,29.873,-11.16,28.629,0.001,28.629,89.998,16.152,2.678,17.407,78.477,1.463,2.082e-5,20.197,0.009,134.419,19.166,14.331,0,0
2.795,69.476,605.476,25.043,29.788,-11.159,28.756,0.001,28.756,89.998,16.131,2.662,17.407,78.477,1.443,1.999e-5,24.162,0.011,134.419,19.168,14.331,0,0
2.803,69.676,605.676,24.953,29.702,-11.194,28.885,0.001,28.885,89.998,16.11,2.593,17.407,78.477,1.348,2.008e-5,28.065,0.017,134.419,19.177,14.331,0,0
2.812,69.891,605.891,24.856,29.609,-11.28,29.024,0.001,29.024,89.998,16.088,2.449,17.407,78.477,1.145,2.055e-5,31.76,0.027,134.419,19.196,14.331,0,0
2.822,70.145,606.145,24.74,29.498,-11.397,29.188,0.001,29.188,89.998,16.064,2.263,17.407,78.477,0.871,2.096e-5,35.255,0.026,134.419,19.221,14.331,0,0
2.836,70.482,606.482,24.583,29.351,-11.571,29.408,0.001,29.408,89.998,16.035,2.002,17.407,78.477,0.466,2.071e-5,38.298,0.043,134.419,19.26,14.331,0,0
2.856,70.983,606.983,24.344,29.13,-11.838,29.736,0.001,29.736,89.998,15.998,1.63,17.407,78.477,0.156,2.258e-5,-39.236,0.124,134.419,19.289,14.331,0,0
2.887,71.726,607.726,23.974,28.798,-12.184,30.227,0.001,30.227,89.998,15.955,1.188,17.407,78.477,0.943,1.139e-5,-33.299,0.022,134.419,19.214,14.331,0,0
2.9,72.032,608.032,23.817,28.659,-12.289,30.431,0.001,30.431,89.998,15.941,1.056,17.407,78.477,1.187,1.008e-5,-28.775,0.011,134.419,19.191,14.331,0,0
2.91,72.278,608.278,23.69,28.548,-12.325,30.596,0.001,30.596,89.998,15.93,1.008,17.407,78.477,1.284,1.075e-5,-24.609,0.012,134.419,19.182,14.331,0,0
2.92,72.505,608.505,23.572,28.444,-12.335,30.749,0.001,30.749,89.998,15.92,0.987,17.407,78.477,1.332,1.025e-5,-20.532,0.009,134.419,19.177,14.331,0,0
2.929,72.723,608.723,23.457,28.344,-12.325,30.897,0.001,30.897,89.998,15.911,0.986,17.407,78.477,1.339,1.059e-5,-16.529,0.01,134.419,19.177,14.331,0,0
2.938,72.942,608.942,23.342,28.244,-12.295,31.046,0.001,31.046,89.998,15.902,1.004,17.407,78.477,1.309,1.085e-5,-12.568,0.009,134.419,19.179,14.331,0,0
2.948,73.166,609.166,23.224,28.141,-12.244,31.198,0.001,31.198,89.998,15.892,1.042,17.407,78.477,1.24,9.853e-6,-8.668,0.006,134.419,19.186,14.331,0,0
2.958,73.401,609.401,23.1,28.033,-12.178,31.36,0.001,31.36,89.998,15.881,1.09,17.407,78.477,1.147,1.031e-5,-4.834,-0.004,134.419,19.194,14.331,0,0
2.969,73.656,609.656,22.966,27.915,-12.089,31.536,0.001,31.536,89.998,15.869,1.16,17.407,78.477,1.009,1.005e-5,-1.079,-0.004,134.419,19.207,14.331,0,0
2.982,73.945,609.945,22.814,27.781,-11.967,31.736,0.001,31.736,89.998,15.854,1.26,17.407,78.477,0.806,8.527e-6,2.521,-0.003,134.419,19.226,14.331,0,0
2.998,74.307,610.307,22.624,27.614,-11.792,31.988,0.001,31.988,89.998,15.832,1.409,17.407,78.478,0.5,1.007e-5,5.766,0.004,134.419,19.255,14.331,0,0
3.022,74.844,610.844,22.346,27.365,-11.537,32.366,0.001,32.366,89.998,15.796,1.623,17.407,78.478,0.035,8.452e-6,7.72,0.22,134.419,19.3,14.331,0,0
3.057,75.636,611.636,21.939,26.997,-11.201,32.93,0.001,32.93,89.998,15.733,1.907,17.407,78.478,0.603,3.385e-6,-4.48,-0.001,134.419,19.245,14.331,0,0
3.08,76.123,612.123,21.691,26.77,-11.067,33.28,0.001,33.28,89.997,15.689,2.002,17.407,78.478,0.846,4.138e-6,0.341,0.006,134.419,19.222,14.331,0,0
3.096,76.472,612.472,21.513,26.607,-11.004,33.534,0.001,33.534,89.997,15.656,2.031,17.407,78.478,0.947,3.887e-6,4.578,0.02,134.419,19.212,14.331,0,0
3.111,76.787,612.787,21.352,26.459,-10.933,33.764,0.002,33.764,89.997,15.626,2.084,17.407,78.478,1.074,4.009e-6,8.797,0.013,134.419,19.2,14.331,0,0
3.124,77.065,613.065,21.209,26.327,-10.879,33.968,0.002,33.968,89.997,15.599,2.122,17.407,78.478,1.165,2.882e-6,12.988,0.01,134.419,19.192,14.331,0,0
3.136,77.322,613.322,21.077,26.206,-10.852,34.157,0.002,34.157,89.997,15.573,2.133,17.407,78.478,1.199,3.116e-6,17.055,0.019,134.419,19.188,14.331,0,0
3.148,77.571,613.571,20.949,26.088,-10.845,34.341,0.002,34.341,89.997,15.548,2.12,17.407,78.478,1.185,2.541e-6,21.036,0.024,134.419,19.19,14.331,0,0
3.16,77.823,613.823,20.817,25.968,-10.92,34.529,0.002,34.529,89.997,15.523,2.002,17.407,78.478,0.979,2.336e-6,24.725,0.036,134.419,19.209,14.331,0,0
3.174,78.129,614.129,20.655,25.821,-11.047,34.758,0.002,34.758,89.997,15.494,1.819,17.407,78.478,0.638,2.948e-6,28.007,0.051,134.419,19.241,14.331,0,0
3.197,78.583,614.583,20.408,25.601,-11.253,35.1,0.002,35.1,89.997,15.457,1.542,17.407,78.478,0.076,1.769e-6,30.099,0.493,134.419,19.295,14.331,0,0
3.23,79.255,615.255,20.031,25.273,-11.478,35.613,0.002,35.613,89.997,15.411,1.254,17.407,78.478,0.566,1.85e-6,-27.719,0.072,134.419,19.247,14.331,0,0
3.256,79.781,615.781,19.725,25.013,-11.606,36.02,0.002,36.02,89.997,15.38,1.088,17.407,78.478,0.953,6.934e-6,-22.396,0.036,134.419,19.21,14.331,0,0
3.272,80.098,616.098,19.537,24.854,-11.661,36.269,0.002,36.269,89.997,15.363,1.006,17.407,78.478,1.141,3.884e-6,-18.043,0.032,134.419,19.193,14.331,0,0
3.286,80.366,616.366,19.377,24.72,-11.68,36.48,0.002,36.48,89.997,15.35,0.962,17.407,78.478,1.239,3.136e-6,-13.893,0.022,134.419,19.184,14.331,0,0
3.299,80.614,616.614,19.227,24.595,-11.673,36.677,0.002,36.677,89.997,15.338,0.942,17.407,78.478,1.275,2.451e-6,-9.856,0.017,134.419,19.18,14.331,0,0
3.312,80.857,616.857,19.079,24.472,-11.631,36.872,0.002,36.872,89.997,15.326,0.956,17.407,78.478,1.227,2.919e-6,-5.932,0.019,134.419,19.184,14.331,0,0
3.325,81.109,617.109,18.925,24.344,-11.565,37.075,0.002,37.075,89.997,15.313,0.989,17.407,78.478,1.121,4.726e-6,-2.109,0.018,134.419,19.194,14.331,0,0
3.34,81.387,617.387,18.755,24.202,-11.47,37.301,0.002,37.301,89.997,15.298,1.045,17.407,78.478,0.949,4.694e-6,1.574,0.023,134.419,19.21,14.331,0,0
3.357,81.716,617.716,18.554,24.035,-11.331,37.571,0.002,37.571,89.997,15.278,1.134,17.407,78.478,0.672,4.666e-6,5.013,0.03,134.419,19.236,14.331,0,0
3.383,82.178,618.178,18.272,23.799,-11.108,37.954,0.002,37.954,89.997,15.248,1.289,17.407,78.478,0.187,1.429e-6,7.571,0.069,134.419,19.283,14.331,0,0
3.42,82.858,618.858,17.86,23.449,-10.723,38.527,0.002,38.527,89.997,15.195,1.602,17.407,78.478,0.749,6.077e-6,-5.586,-0.01,134.419,19.229,14.331,0,0
3.444,83.278,619.278,17.61,23.233,-10.489,38.885,0.002,38.885,89.997,15.154,1.809,17.407,78.478,1.329,6.329e-6,0.022,-0.005,134.419,19.174,14.331,0,0
3.457,83.512,619.512,17.471,23.111,-10.415,39.087,0.002,39.087,89.997,15.129,1.862,17.407,78.478,1.502,6.279e-6,4.344,-0.007,134.419,19.158,14.331,0,0
3.469,83.719,619.719,17.347,23.003,-10.391,39.268,0.002,39.268,89.997,15.107,1.861,17.407,78.478,1.543,6.451e-6,8.388,-0.013,134.419,19.155,14.331,0,0
3.481,83.922,619.922,17.225,22.897,-10.384,39.445,0.002,39.445,89.997,15.085,1.843,17.407,78.478,1.538,6.813e-6,12.379,-0.017,134.419,19.155,14.331,0,0
3.493,84.126,620.126,17.102,22.79,-10.393,39.624,0.002,39.624,89.997,15.064,1.809,17.407,78.478,1.487,6.252e-6,16.299,-0.015,134.419,19.16,14.331,0,0
3.505,84.337,620.337,16.972,22.678,-10.415,39.811,0.002,39.811,89.997,15.042,1.761,17.407,78.478,1.396,5.273e-6,20.155,-0.013,134.419,19.168,14.331,0,0
3.518,84.563,620.563,16.833,22.559,-10.45,40.012,0.002,40.012,89.997,15.018,1.699,17.407,78.478,1.264,5.078e-6,23.951,-0.014,134.419,19.18,14.331,0,0
3.533,84.814,620.814,16.676,22.425,-10.507,40.236,0.002,40.236,89.997,14.994,1.616,17.407,78.478,1.065,5.101e-6,27.611,-0.009,134.419,19.198,14.331,0,0
3.552,85.115,621.115,16.485,22.265,-10.597,40.508,0.002,40.508,89.997,14.965,1.497,17.407,78.478,0.756,4.582e-6,31.031,-0.003,134.419,19.227,14.331,0,0
3.577,85.539,621.539,16.207,22.036,-10.793,40.896,0.002,40.896,89.997,14.93,1.266,17.407,78.478,0.105,4.415e-6,33.25,0.002,134.419,19.29,14.331,0,0
3.616,86.161,622.161,15.782,21.695,-11.012,41.476,0.002,41.476,89.997,14.886,1.025,17.407,78.478,0.666,3.167e-6,-30.428,0.015,134.419,19.235,14.331,0,0
3.646,86.626,622.626,15.453,21.436,-11.076,41.919,0.002,41.919,89.997,14.857,0.949,17.407,78.478,0.938,1.379e-6,-25.634,0.018,134.419,19.21,14.331,0,0
3.668,86.961,622.961,15.211,21.249,-11.105,42.242,0.002,42.242,89.997,14.837,0.903,17.407,78.478,1.094,2.812e-6,-21.35,0.016,134.419,19.195,14.331,0,0
3.687,87.25,623.25,14.998,21.085,-11.103,42.527,0.002,42.527,89.997,14.819,0.882,17.407,78.478,1.156,1.971e-6,-17.255,0.012,134.419,19.189,14.331,0,0
3.706,87.527,623.527,14.792,20.927,-11.072,42.801,0.003,42.801,89.997,14.803,0.883,17.407,78.478,1.133,3.911e-6,-13.291,0.014,134.419,19.191,14.331,0,0
3.725,87.807,623.807,14.581,20.766,-11.013,43.084,0.003,43.084,89.997,14.786,0.903,17.407,78.478,1.026,3.632e-6,-9.498,0.023,134.419,19.201,14.331,0,0
3.746,88.117,624.117,14.346,20.588,-10.921,43.401,0.003,43.401,89.997,14.766,0.943,17.407,78.478,0.825,3.069e-6,-5.907,0.033,134.419,19.22,14.331,0,0
3.773,88.503,624.503,14.052,20.364,-10.732,43.802,0.003,43.802,89.997,14.739,1.06,17.407,78.478,0.316,4.578e-6,-3.094,0.048,134.419,19.268,14.331,0,0
3.814,89.066,625.066,13.621,20.035,-10.467,44.401,0.003,44.401,89.996,14.692,1.22,17.407,78.478,0.432,3.232e-6,3.733,-0.04,134.419,19.257,14.331,0,0
3.864,89.734,625.734,13.103,19.639,-10.245,45.134,0.003,45.134,89.996,14.629,1.333,17.407,78.478,1.04,-6.403e-6,9.925,-0.032,134.419,19.199,14.331,0,0
3.887,90.035,626.035,12.867,19.459,-10.155,45.472,0.003,45.472,89.996,14.597,1.382,17.407,78.478,1.285,-7.261e-6,14.406,-0.036,134.419,19.176,14.331,0,0
3.906,90.277,626.277,12.675,19.312,-10.12,45.749,0.003,45.749,89.996,14.571,1.389,17.407,78.478,1.36,-6.715e-6,18.571,-0.04,134.419,19.169,14.331,0,0
3.924,90.505,626.505,12.492,19.174,-10.133,46.012,0.003,46.012,89.996,14.546,1.352,17.407,78.478,1.278,-5.083e-6,22.423,-0.04,134.419,19.177,14.331,0,0
3.944,90.747,626.747,12.293,19.025,-10.166,46.296,0.003,46.296,89.996,14.52,1.3,17.407,78.478,1.122,-5.041e-6,26.153,-0.032,134.419,19.191,14.331,0,0
3.967,91.025,627.025,12.061,18.854,-10.244,46.627,0.003,46.627,89.996,14.491,1.207,17.407,78.478,0.8,-6.156e-6,29.569,-0.039,134.419,19.221,14.331,0,0
4,91.417,627.417,11.721,18.609,-10.381,47.105,0.003,47.105,89.996,14.454,1.062,17.407,78.478,0.221,-7.469e-6,32.052,-0.075,134.419,19.277,14.331,0,0
4.049,91.985,627.985,11.204,18.249,-10.478,47.819,0.003,47.819,89.996,14.404,0.962,17.407,78.478,0.263,-6.545e-6,-31.676,0.066,134.419,19.272,14.331,0,0
4.099,92.532,628.532,10.681,17.893,-10.463,48.538,0.003,48.538,89.996,14.356,0.961,17.407,78.478,0.323,-1.333e-5,-29.285,0.144,134.419,19.267,14.331,0,0
4.149,93.053,629.053,10.156,17.547,-10.501,49.254,0.003,49.254,89.996,14.31,0.903,17.407,78.478,0.602,-1.22e-5,-25.737,0.099,134.419,19.24,14.331,0,0
4.196,93.513,629.513,9.67,17.235,-10.397,49.918,0.003,49.918,89.996,14.267,0.95,17.407,78.478,0.329,-1.793e-5,-22.533,0.098,134.419,19.266,14.331,0,0
4.246,93.984,629.984,9.154,16.91,-10.248,50.631,0.004,50.631,89.996,14.217,1.02,17.407,78.478,0.112,-2.119e-5,21.644,-0.028,134.419,19.287,14.331,0,0
4.296,94.429,630.429,8.644,16.595,-10.157,51.34,0.004,51.34,89.996,14.166,1.043,17.407,78.478,0.336,-1.801e-5,23.14,-0.084,134.419,19.265,14.331,0,0
4.346,94.848,630.848,8.139,16.291,-10.061,52.047,0.004,52.047,89.996,14.113,1.078,17.407,78.478,0.582,-8.003e-6,26.179,-0.063,134.419,19.241,14.331,0,0
4.396,95.243,631.243,7.636,15.999,-10.054,52.751,0.004,52.751,89.996,14.059,1.055,17.407,78.478,0.499,-2.689e-6,29.748,-0.054,134.419,19.249,14.331,0,0
4.446,95.612,631.612,7.133,15.719,-10.087,53.453,0.004,53.453,89.996,14.007,1.018,17.407,78.478,0.272,-5.003e-6,32.125,-0.06,134.419,19.271,14.331,0,0
4.496,95.956,631.956,6.628,15.451,-10.111,54.152,0.004,54.152,89.996,13.957,0.997,17.407,78.478,0.075,-3.501e-6,33.037,-0.135,134.419,19.29,14.331,0,0
4.546,96.275,632.275,6.12,15.196,-10.193,54.849,0.004,54.849,89.996,13.909,0.935,17.407,78.478,0.354,-5.361e-6,-31.972,0.006,134.419,19.263,14.331,0,0
4.596,96.568,632.568,5.608,14.956,-10.302,55.543,0.004,55.543,89.996,13.864,0.835,17.407,78.478,0.959,-1.286e-5,-27.811,0.026,134.419,19.205,14.331,0,0
4.631,96.759,632.759,5.245,14.796,-10.246,56.032,0.004,56.032,89.995,13.835,0.844,17.407,78.478,0.82,-1.545e-5,-24.013,0.038,134.419,19.218,14.331,0,0
4.673,96.969,632.969,4.819,14.617,-10.16,56.608,0.005,56.608,89.995,13.799,0.848,17.407,78.478,0.579,-1.129e-5,-20.757,0.039,134.419,19.241,14.331,0,0
4.723,97.198,633.198,4.314,14.418,-10.033,57.297,0.005,57.297,89.995,13.757,0.851,17.407,78.478,0.176,-5.103e-6,-18.398,0.058,134.419,19.28,14.331,0,0
4.773,97.401,633.401,3.817,14.235,-9.861,57.984,0.005,57.984,89.995,13.714,0.886,17.407,78.478,0.465,-3.685e-6,18.964,-0.038,134.419,19.252,14.331,0,0
4.823,97.58,633.58,3.328,14.068,-9.706,58.669,0.005,58.669,89.995,13.669,0.921,17.407,78.478,1.012,-1.031e-5,23.059,-0.053,134.419,19.2,14.331,0,0
4.86,97.697,633.697,2.968,13.953,-9.639,59.177,0.005,59.177,89.995,13.634,0.931,17.407,78.478,1.214,-4.251e-6,27.483,-0.061,134.419,19.181,14.331,0,0
4.891,97.785,633.785,2.668,13.864,-9.61,59.602,0.005,59.602,89.995,13.605,0.936,17.407,78.478,1.267,-4.509e-6,31.601,-0.063,134.419,19.176,14.331,0,0
4.921,97.86,633.86,2.38,13.784,-9.618,60.009,0.005,60.009,89.995,13.577,0.93,17.407,78.478,1.172,-2.84e-6,35.479,-0.064,134.419,19.185,14.331,0,0
4.954,97.933,633.933,2.065,13.703,-9.659,60.452,0.005,60.452,89.995,13.547,0.917,17.407,78.478,0.939,-4.275e-6,39.087,-0.073,134.419,19.207,14.331,0,0
4.996,98.011,634.011,1.66,13.611,-9.745,61.017,0.005,61.017,89.995,13.509,0.9,17.407,78.478,0.502,-7.629e-6,42.128,-0.086,134.419,19.248,14.331,0,0
5.046,98.081,634.081,1.17,13.515,-9.867,61.691,0.005,61.691,89.995,13.464,0.888,17.407,78.478,0.106,-8.899e-6,-42.853,-0.086,134.419,19.286,14.331,0,0
5.096,98.128,634.128,0.673,13.437,-9.974,62.363,0.006,62.363,89.995,13.42,0.903,17.407,78.478,0.636,-8.893e-6,-40.436,0.012,134.419,19.235,14.331,0,0
5.146,98.149,634.149,0.173,13.376,-10.039,63.033,0.006,63.033,89.995,13.374,0.9,17.407,78.478,1.004,-2.484e-6,-35.529,0.02,134.419,19.201,14.331,0,0
# Event APOGEE occurred at t=5.18 seconds
5.18,98.149,634.149,-0.179,13.344,-10.043,63.5,0.006,63.5,89.995,13.343,0.91,17.407,78.478,1.085,-1.555e-6,-31.33,0.007,134.419,19.193,14.331,0,0
5.213,98.137,634.137,-0.506,13.323,-10.015,63.936,0.006,63.936,89.995,13.313,0.917,17.407,78.478,1.033,8.106e-7,-27.381,0.009,134.419,19.198,14.331,0,0
5.247,98.114,634.114,-0.847,13.309,-9.953,64.39,0.006,64.39,89.995,13.282,0.918,17.407,78.478,0.851,-1.026e-6,-23.703,0.014,134.419,19.215,14.331,0,0
5.289,98.07,634.07,-1.261,13.303,-9.84,64.944,0.006,64.944,89.995,13.243,0.907,17.407,78.478,0.48,-3.824e-6,-20.507,0.019,134.419,19.25,14.331,0,0
5.339,97.995,633.995,-1.749,13.314,-9.679,65.606,0.006,65.606,89.995,13.199,0.882,17.407,78.478,0.088,-4.573e-6,19.337,0.11,134.419,19.288,14.331,0,0
5.389,97.895,633.895,-2.229,13.343,-9.533,66.264,0.006,66.264,89.995,13.155,0.862,17.407,78.478,0.607,-7.235e-6,21.203,0.022,134.419,19.238,14.331,0,0
5.439,97.772,633.772,-2.703,13.389,-9.408,66.921,0.006,66.921,89.994,13.113,0.819,17.407,78.478,1.068,-1.333e-5,25.583,0.028,134.419,19.194,14.331,0,0
5.476,97.666,633.666,-3.048,13.433,-9.379,67.402,0.007,67.402,89.994,13.083,0.819,17.407,78.478,1.106,-1.195e-5,29.795,0.041,134.419,19.191,14.331,0,0
5.511,97.553,633.553,-3.38,13.484,-9.403,67.864,0.007,67.864,89.994,13.054,0.839,17.407,78.478,0.912,-1.08e-5,33.511,0.05,134.419,19.209,14.331,0,0
5.553,97.402,633.402,-3.777,13.555,-9.47,68.413,0.007,68.413,89.994,13.018,0.867,17.407,78.478,0.538,-1.151e-5,36.701,0.092,134.419,19.245,14.331,0,0
5.603,97.202,633.202,-4.251,13.654,-9.518,69.063,0.007,69.063,89.994,12.975,0.857,17.407,78.478,0.259,-1.585e-5,38.671,0.208,134.419,19.271,14.331,0,0
5.653,96.977,632.977,-4.729,13.769,-9.608,69.711,0.007,69.711,89.994,12.931,0.888,17.407,78.478,0.227,-1.796e-5,-38.511,0.306,134.419,19.275,14.331,0,0
